time,Irms,VibrationMag
1404.796,0.310652673,0.046821699
1405.796,0.323830426,0.042221833
1406.796,0.318411231,0.062956721
1407.796,0.307175815,0.0335408
1408.796,0.306406438,0.058352157
1409.796,0.304521054,0.048501831
1410.796,0.302081823,0.053379595
1411.796,0.310442627,0.036319081
1412.795,0.311162531,0.049586874
1413.797,0.307394058,0.054055277
1414.795,0.294389069,0.06318406
1415.796,0.288114697,0.058279302
1416.796,0.281824261,0.047951635
1417.797,0.264615476,0.054915175
1418.795,0.249457285,0.056254148
1419.796,0.233247176,0.051571745
1420.795,0.24462162,0.044348527
1421.796,0.23644641,0.043305125
1422.796,0.246620938,0.061051238
1423.795,0.232476786,0.070384167
1424.797,0.241823614,0.050047934
1425.796,0.25215292,0.05789895
1426.796,0.274848282,0.070644923
1427.797,0.302821696,0.034810755
1428.795,0.31330961,0.056747705
1429.796,0.318931341,0.050113413
1430.796,0.315967828,0.049109835
1431.796,0.311292499,0.039916843
1432.796,0.3073982,0.01566034
1433.796,0.311860025,0.062054515
1434.797,0.303878158,0.043277398
1435.796,0.31295228,0.070782103
1436.796,0.300106198,0.047674749
1437.796,0.308632493,0.027031681
1438.796,0.305856735,0.056490336
1439.796,0.313325465,0.053544719
1440.797,0.304924607,0.051652089
1441.795,0.314869732,0.059451669
1442.796,0.298096925,0.057650764
1443.796,0.316863537,0.050766528
1444.797,0.312220275,0.051191691
1445.796,0.318044365,0.039177094
1446.796,0.308513463,0.041177914
1447.796,0.311961085,0.048161786
1448.796,0.293572485,0.049459528
1449.796,0.263466299,0.06224459
1450.796,0.262063563,0.060257737
1451.797,0.239016861,0.043833982
1452.796,0.239014164,0.055427995
1453.797,0.230893001,0.073532708
1454.796,0.253715128,0.054735258
1455.796,0.2648018,0.060573425
1456.796,0.278106391,0.054965705
1457.796,0.28983593,0.041540388
1458.796,0.300783485,0.037255418
1459.796,0.308467448,0.058112655
1460.797,0.312376708,0.036618784
1461.795,0.320328593,0.032439407
1462.796,0.30710122,0.042344261
1463.796,0.312285274,0.037747968
1464.796,0.300319374,0.05374663
1465.796,0.307652801,0.051344406
1466.796,0.303412974,0.066329241
1467.796,0.308553964,0.044606864
1468.796,0.311757684,0.040391963
1469.796,0.318030208,0.087265164
1470.796,0.31207481,0.056007791
1471.796,0.303696513,0.048616286
1472.797,0.305244982,0.067605563
1473.796,0.30597508,0.03346936
1474.796,0.316424906,0.046986025
1475.796,0.310755789,0.066462353
1476.797,0.309591591,0.058086682
1477.796,0.316143215,0.050334375
1478.796,0.318235308,0.053399581
1479.795,0.311251342,0.036795873
1480.796,0.319302768,0.035734721
1481.796,0.319143742,0.054423407
1482.796,0.322397023,0.057116538
1483.796,0.325484157,0.036126073
1484.796,0.321415514,0.045897294
1485.795,0.317147881,0.067968518
1486.796,0.313980997,0.058600217
1487.796,0.319058806,0.029131355
1488.796,0.316106141,0.041217294
1489.796,0.312733144,0.050820138
1490.796,0.3119573,0.035708308
1491.796,0.295587003,0.018018857
1492.796,0.286800832,0.059947323
