Xaccel,Yaccel,Zaccel
-1472,-128,1472
1664,768,448
4032,1664,-192
-1856,-64,1664
-1856,-64,1664
-3840,-320,2752
-2368,-128,1792
3840,1472,576
3200,1280,-192
-832,64,1280
-3200,-384,2688
0,384,320
2880,1216,128
2880,1216,128
64,256,1216
-2944,-256,2176
-3904,-320,2880
1984,960,448
3776,1536,192
1536,768,128
-3968,-384,2816
-2432,-384,1792
-2432,-192,1792
768,576,256
2816,1280,-256
-768,192,1088
-3584,-384,2752
-3072,256,512
2304,1216,448
3648,1600,-256
3648,1600,-256
512,512,1984
-3840,-320,2880
-1664,-128,1152
960,768,128
2432,1024,256
-1088,128,2240
-3520,-256,2880
-256,448,384
-256,448,384
3328,1408,192
3840,1344,-640
-4288,-576,3520
-3456,-448,2176
-256,256,-64
3968,1536,256
832,576,768
832,576,768
-2560,-192,1856
-1920,0,1216
896,640,576
3840,1536,768
-832,256,1024
-3392,-192,2176
-3136,-192,2432
2560,1152,576
2560,1152,576
3328,1472,256
320,448,512
-3584,-128,2688
-1344,192,1024
1536,832,128
1600,576,448
-1792,0,1856
-3840,-256,3264
0,448,256
0,448,256
2688,1216,448
3264,1280,192
256,448,1984
-3392,64,2432
-1536,0,896
1152,768,256
1152,768,256
-1344,64,1600
-1344,64,1600
-3840,-256,2752
320,448,256
4032,1536,384
3072,1216,64
-4096,-320,2752
-3392,-256,2176
-3392,-256,2176
64,320,384
3328,1280,-512
-960,192,1472
-3584,-320,2816
320,512,256
3072,1344,192
2560,1024,-576
-3392,-192,3328
-1920,64,2048
-1920,64,2048
768,768,-192
832,960,896
-960,576,1792
